Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
1201	33	0.502667	0.505667	0.519	0.541333	0.662	0
1201	34	0.501	0.506	0.518667	0.54	0.659333	0
1201	35	0.500667	0.505667	0.518333	0.54	0.658667	0
1201	36	0.503	0.505667	0.517667	0.538333	0.662	0
1201	37	0.502667	0.506333	0.516333	0.540333	0.663333	0
1201	38	0.501	0.506333	0.517667	0.544	0.67	0
1201	39	0.502	0.506333	0.518333	0.544667	0.670333	0
1201	40	0.501667	0.506	0.517333	0.541333	0.666333	0
1201	41	0.501667	0.506	0.518333	0.544333	0.667	0
1201	42	0.502	0.505	0.519333	0.544333	0.667333	0
1201	43	0.502667	0.506333	0.517333	0.542333	0.667	0
1201	44	0.502	0.509	0.517	0.542667	0.671667	0
1201	45	0.501333	0.511333	0.517667	0.539333	0.671	0
1201	46	0.501333	0.51	0.518333	0.541333	0.674667	0
1201	47	0.502333	0.509667	0.517667	0.541	0.675	0
1201	48	0.502	0.511	0.518667	0.540667	0.674333	0
1201	49	0.502	0.510333	0.518	0.540667	0.674	0
1201	50	0.502333	0.509667	0.517333	0.539333	0.672667	0
1201	51	0.501333	0.509667	0.518	0.541	0.671333	0
1201	52	0.501333	0.51	0.517667	0.54	0.671333	0
1201	53	0.501667	0.51	0.519	0.541	0.673333	0
1201	54	0.501333	0.508333	0.517333	0.539333	0.667667	0
1201	55	0.502	0.508	0.517	0.539333	0.667	0
1201	56	0.501667	0.508	0.517667	0.539333	0.667667	0
1201	57	0.501333	0.508333	0.518333	0.538333	0.665	0
1201	58	0.501333	0.508667	0.517333	0.538333	0.663333	0
1201	59	0.501667	0.507667	0.517667	0.538667	0.667	0
1201	60	0.501333	0.507667	0.518333	0.539	0.667	0
1201	61	0.502	0.509333	0.516667	0.537333	0.666	0
1201	62	0.502	0.508667	0.516667	0.537667	0.667	0
1201	63	0.503	0.51	0.517667	0.536667	0.666333	0
1201	64	0.503	0.509333	0.517333	0.537667	0.667333	0
1201	65	0.501667	0.510667	0.518667	0.538667	0.673333	0
1201	66	0.502	0.51	0.518667	0.539	0.672333	0
1201	67	0.501667	0.512667	0.522667	0.542667	0.678667	0
1201	68	0.502	0.512667	0.522	0.541667	0.677333	0
1201	69	0.502	0.511667	0.522	0.542	0.678	0
1201	70	0.502333	0.508667	0.518	0.539667	0.676	1
1201	71	0.502333	0.509667	0.519333	0.540333	0.678333	0
1201	72	0.502333	0.509333	0.519333	0.539	0.676	0
1201	73	0.501667	0.509333	0.519333	0.539667	0.677	0
1201	74	0.501667	0.509333	0.519	0.541333	0.674333	0
1201	75	0.502333	0.510667	0.518667	0.538333	0.672	0
1201	76	0.502	0.509333	0.519	0.538667	0.672333	0
1201	77	0.502667	0.507667	0.517	0.539	0.669	0
1201	78	0.503333	0.507667	0.516667	0.539667	0.670333	0
1201	79	0.502333	0.51	0.515667	0.540333	0.669333	0
1201	80	0.503	0.509333	0.516333	0.54	0.671	0
1201	81	0.502333	0.509667	0.516333	0.54	0.670333	0
1201	82	0.502	0.510333	0.516667	0.537667	0.670667	0
1201	83	0.501667	0.508667	0.517333	0.539667	0.672667	0
1201	84	0.502	0.509667	0.517	0.538667	0.671333	0
1201	85	0.502	0.51	0.517667	0.539	0.672	0
1201	86	0.502333	0.509333	0.518	0.539	0.673	0
1201	87	0.503	0.508	0.517667	0.54	0.672333	0
1201	88	0.502333	0.508333	0.517	0.539	0.672333	0
1201	89	0.502	0.509333	0.517333	0.540667	0.673333	0
1201	90	0.502	0.509333	0.517667	0.542	0.674333	0
1201	91	0.502	0.508333	0.517667	0.54	0.670667	0
1201	92	0.502	0.508333	0.518333	0.538333	0.669667	0
1201	93	0.502667	0.508	0.517667	0.538333	0.667667	0
1201	94	0.503	0.509	0.518333	0.537667	0.668	0
1201	95	0.501667	0.508333	0.518	0.539	0.668667	0
1201	96	0.502	0.508	0.518667	0.539	0.67	0
1201	97	0.503667	0.509	0.518	0.538667	0.672667	0
1201	98	0.503333	0.509667	0.517333	0.54	0.674333	0
1201	99	0.502667	0.509	0.517	0.541333	0.674333	0
1201	100	0.502333	0.509	0.516667	0.546667	0.679	0
1202	1	0.503333	0.507333	0.516	0.541	0.683333	0
1202	2	0.502333	0.507	0.517	0.544333	0.686333	0
1202	3	0.502	0.506333	0.518	0.544333	0.685333	0
1202	4	0.503	0.506333	0.518333	0.544667	0.687	0
1202	5	0.502333	0.507	0.518	0.543667	0.687	0
1202	6	0.502	0.506667	0.518	0.543667	0.686	0
1202	7	0.503	0.507333	0.519	0.542333	0.688333	0
1202	8	0.502333	0.508	0.517667	0.542667	0.688667	0
1202	9	0.502	0.508667	0.517333	0.543667	0.689	0
1202	10	0.503	0.508333	0.517	0.542	0.688333	0
1202	11	0.502	0.507667	0.517667	0.542	0.685333	0
1202	12	0.502	0.508333	0.517667	0.542333	0.685667	0
1202	13	0.501667	0.508	0.517	0.542	0.685	0
1202	14	0.502	0.508	0.517333	0.541667	0.685	0
1202	15	0.502	0.509667	0.518	0.542	0.689	0
1202	16	0.502	0.509	0.518333	0.542333	0.688667	0
1202	17	0.502667	0.508	0.517667	0.542333	0.689	0
1202	18	0.503	0.507333	0.518	0.542667	0.688	0
1202	19	0.503667	0.507	0.517	0.543667	0.688	0
1202	20	0.503333	0.507333	0.517	0.543667	0.688333	0
1202	21	0.503333	0.507667	0.517	0.543333	0.689	0
1202	22	0.502333	0.507667	0.518	0.542667	0.689667	0
1202	23	0.502667	0.508333	0.518333	0.542667	0.690333	0
1202	24	0.503333	0.507667	0.517667	0.541333	0.689333	0
1202	25	0.503	0.508667	0.517333	0.542667	0.690667	0
1202	26	0.502667	0.508333	0.517667	0.541333	0.69	1
1202	27	0.503667	0.508667	0.517333	0.541667	0.69	0
1202	28	0.503	0.508667	0.517	0.542	0.689333	0
1202	29	0.503	0.509	0.517	0.541667	0.69	0
1202	30	0.502667	0.508333	0.516	0.543667	0.688	0
1202	31	0.502	0.509333	0.516667	0.544	0.689333	0
1202	32	0.501667	0.509333	0.517333	0.542	0.686667	0
1202	33	0.502333	0.509	0.517333	0.543	0.688667	0
1202	34	0.502333	0.508333	0.517333	0.544	0.689333	0
1202	35	0.502667	0.509667	0.516333	0.542667	0.688333	0
1202	36	0.502667	0.509	0.516333	0.542667	0.688	0
1202	37	0.503	0.510333	0.516667	0.545333	0.692	0
1202	38	0.503	0.509667	0.516667	0.546333	0.691	0
1202	39	0.503333	0.509	0.516667	0.544	0.689667	0
1202	40	0.502333	0.507333	0.521333	0.543333	0.691	0
1202	41	0.501333	0.507667	0.519	0.544667	0.690667	0
1202	42	0.502	0.507333	0.520667	0.543667	0.691667	0
1202	43	0.502	0.507	0.519	0.544333	0.692	0
1202	44	0.501667	0.507667	0.519	0.543333	0.688667	0
1202	45	0.502667	0.508	0.518333	0.543333	0.690333	0
1202	46	0.503	0.507333	0.518	0.544333	0.69	0
1202	47	0.502667	0.506	0.518667	0.543333	0.69	0
1202	48	0.501667	0.506667	0.518333	0.543	0.688333	0
1202	49	0.502	0.506	0.519667	0.543	0.689	0
1202	50	0.501667	0.507333	0.519333	0.544	0.689	0
1202	51	0.502	0.509	0.521	0.546333	0.693667	0
1202	52	0.502333	0.508	0.519	0.545333	0.693	0
1202	53	0.501667	0.509	0.519667	0.547333	0.693	0
1202	54	0.502	0.509	0.519	0.544	0.692	0
1202	55	0.502	0.509	0.518667	0.545	0.692	0
1202	56	0.501667	0.508333	0.519667	0.545667	0.692333	0
1202	57	0.501333	0.510667	0.518333	0.545333	0.692667	0
1202	58	0.501667	0.510667	0.518333	0.545	0.691667	0
1202	59	0.502667	0.507333	0.519	0.542333	0.687667	0
1202	60	0.502333	0.507333	0.519333	0.542333	0.687	0
1202	61	0.502667	0.507	0.518	0.543	0.689	0
1202	62	0.502	0.507	0.519	0.542667	0.688	0
1202	63	0.502333	0.508	0.519667	0.543667	0.691667	0
1202	64	0.502333	0.509	0.520333	0.543333	0.691	0
1202	65	0.502667	0.507333	0.519	0.543333	0.692	0
1202	66	0.503	0.508333	0.518667	0.543667	0.692333	0
1202	67	0.502333	0.508333	0.519	0.544	0.691667	0
1202	68	0.502333	0.506	0.517333	0.544333	0.686667	0
1202	69	0.502667	0.506333	0.517667	0.543667	0.686667	0
1202	70	0.501667	0.506667	0.518	0.544	0.687	0
1202	71	0.502	0.506667	0.517667	0.544	0.687667	0
1202	72	0.501667	0.505333	0.517667	0.548667	0.688667	0
1202	73	0.501333	0.506	0.517667	0.546	0.689	0
1202	74	0.501667	0.506333	0.519	0.544333	0.689	0
1202	75	0.502	0.506333	0.518667	0.544333	0.689667	0
1202	76	0.502333	0.506333	0.519667	0.543667	0.689333	0
1202	77	0.502	0.505333	0.518	0.547667	0.690667	0
1202	78	0.502333	0.506	0.518	0.546667	0.690667	0
1202	79	0.501667	0.505333	0.518333	0.547	0.691333	0
1202	80	0.503	0.505333	0.517667	0.546333	0.691667	0
1202	81	0.502333	0.507667	0.518	0.545	0.690333	0
1202	82	0.501333	0.506667	0.517	0.545333	0.69	0
1202	83	0.501333	0.509333	0.518667	0.544333	0.685667	0
1202	84	0.501333	0.506667	0.517333	0.545	0.687	0
1202	85	0.503667	0.507667	0.517	0.539667	0.679333	0
1202	86	0.502333	0.508333	0.516333	0.54	0.678	0
1202	87	0.502333	0.508	0.516333	0.539	0.677	0
1202	88	0.502	0.509333	0.517667	0.539667	0.679333	0
1202	89	0.501333	0.508333	0.519333	0.541333	0.679667	0
1202	90	0.501333	0.508333	0.518333	0.540333	0.679333	0
1202	91	0.502333	0.507	0.515	0.539667	0.677	0
1202	92	0.502667	0.507333	0.515667	0.539333	0.675667	0
1202	93	0.502667	0.507667	0.517333	0.540333	0.681	0
1202	94	0.502	0.508333	0.517333	0.54	0.677667	0
1202	95	0.501333	0.507	0.515333	0.544	0.681333	0
1202	96	0.501667	0.506667	0.516667	0.544	0.681333	0
1202	97	0.501333	0.506	0.516	0.545	0.681667	0
1202	98	0.501667	0.506667	0.515667	0.543333	0.681	0
1202	99	0.501667	0.506667	0.516	0.542	0.680333	0
1202	100	0.502	0.507	0.515667	0.540333	0.678	0
1203	1	0.502333	0.508	0.518667	0.539	0.684667	0
1203	2	0.501667	0.506	0.514	0.538333	0.678333	0
1203	3	0.502	0.505333	0.513333	0.537	0.676	0
1203	4	0.502333	0.505	0.514667	0.536667	0.675333	0
1203	5	0.502667	0.506333	0.513667	0.538667	0.678	0
1203	6	0.503333	0.505667	0.516667	0.541667	0.682667	0
1203	7	0.502667	0.505667	0.518667	0.541667	0.683	0
1203	8	0.502667	0.505667	0.516333	0.542667	0.681333	0
1203	9	0.502	0.508667	0.514667	0.539333	0.680667	0
1203	10	0.501333	0.505333	0.515	0.538	0.677333	0
1203	11	0.501	0.505667	0.515333	0.538667	0.678	0
1203	12	0.501667	0.505333	0.514667	0.538333	0.679333	0
1203	13	0.501333	0.505667	0.516667	0.539	0.680667	0
1203	14	0.501333	0.505	0.515667	0.538333	0.679333	0
1203	15	0.502667	0.506	0.515	0.538	0.679667	0
1203	16	0.502	0.506	0.516	0.537667	0.68	0
1203	17	0.501333	0.505333	0.515333	0.536333	0.671667	0
1203	18	0.502667	0.505333	0.515667	0.535	0.669667	0
1203	19	0.502667	0.505	0.514333	0.534667	0.668667	0
1203	20	0.503	0.509667	0.519333	0.539	0.689667	0
1203	21	0.502	0.509333	0.519333	0.541	0.690333	0
1203	22	0.502333	0.509	0.519	0.542	0.691333	0
1203	23	0.502667	0.509333	0.518667	0.540333	0.689667	0
1203	24	0.502333	0.507333	0.517	0.542333	0.688667	0
1203	25	0.502	0.507333	0.517333	0.540333	0.688	1
1203	26	0.502333	0.509667	0.52	0.542333	0.692333	0
1203	27	0.502	0.505667	0.515	0.535333	0.669667	0
1203	28	0.502667	0.505333	0.515333	0.535333	0.669	0
1203	29	0.502333	0.506667	0.517667	0.54	0.685667	0
1203	30	0.502333	0.509333	0.519333	0.541333	0.691667	0
1203	31	0.502667	0.508667	0.518333	0.541	0.693333	0
1203	32	0.502667	0.507667	0.517333	0.539667	0.684667	0
1203	33	0.502667	0.507	0.517667	0.539667	0.683667	0
1203	34	0.502333	0.507667	0.516	0.540333	0.682667	0
1203	35	0.501667	0.508	0.518	0.539667	0.681667	0
1203	36	0.502333	0.507333	0.516667	0.538667	0.682	0
1203	37	0.502333	0.507	0.517667	0.538	0.681667	0
1203	38	0.502333	0.507	0.517667	0.538333	0.683	0
1203	39	0.502	0.507	0.519	0.538333	0.684333	0
1203	40	0.501667	0.507	0.518	0.539667	0.681333	0
1203	41	0.501667	0.507	0.518667	0.54	0.683333	0
1203	42	0.501667	0.507333	0.518667	0.539667	0.682667	0
1203	43	0.503	0.507	0.518667	0.539333	0.685667	0
1203	44	0.502	0.508	0.519	0.539667	0.687	0
1203	45	0.502	0.508333	0.519333	0.538667	0.686333	0
1203	46	0.502	0.506	0.514	0.538667	0.679	0
1203	47	0.501667	0.505667	0.513667	0.538	0.676	0
1203	48	0.502667	0.506	0.514	0.535667	0.674667	0
1203	49	0.502	0.505667	0.514	0.536	0.675	0
1203	50	0.501667	0.506	0.514333	0.535667	0.674333	0
1203	51	0.501667	0.505667	0.514	0.537	0.676333	0
1203	52	0.502667	0.506	0.514	0.539	0.679667	0
1203	53	0.503	0.509	0.518667	0.540667	0.691333	0
1203	54	0.502333	0.509333	0.519	0.541667	0.691667	0
1203	55	0.502667	0.505667	0.514333	0.543667	0.68	0
1203	56	0.502333	0.507333	0.514333	0.543667	0.681333	0
1203	57	0.502333	0.507667	0.515667	0.543667	0.681667	0
1203	58	0.502333	0.505333	0.517333	0.541667	0.681333	0
1203	59	0.502333	0.506	0.517	0.542667	0.681667	0
1203	60	0.502667	0.507	0.516	0.544	0.684	0
1203	61	0.502667	0.506333	0.516	0.543333	0.683667	0
1203	62	0.503333	0.507	0.515667	0.541667	0.681667	0
1203	63	0.502333	0.506	0.519	0.542333	0.682333	0
1203	64	0.502667	0.506	0.519333	0.540667	0.681	0
1203	65	0.503	0.506	0.517	0.541333	0.683	0
1203	66	0.502667	0.506333	0.517667	0.541333	0.682667	0
1203	67	0.502667	0.506	0.517667	0.543	0.682667	0
1203	68	0.503667	0.506333	0.516	0.54	0.682	0
1203	69	0.503667	0.506	0.516	0.541667	0.682333	0
1203	70	0.503667	0.506	0.515333	0.541667	0.681667	0
1203	71	0.502	0.505667	0.514	0.537	0.678333	0
1203	72	0.501667	0.506333	0.515	0.538667	0.680333	0
1203	73	0.501667	0.505	0.514333	0.539333	0.679333	0
1203	74	0.501333	0.505333	0.515333	0.538	0.678667	0
1203	75	0.501333	0.505667	0.515	0.538333	0.677667	0
1203	76	0.502333	0.505333	0.515	0.538333	0.68	0
1203	77	0.501333	0.506333	0.517	0.538667	0.681	0
1203	78	0.501333	0.506333	0.516333	0.538	0.680667	0
1203	79	0.501667	0.505333	0.515	0.538667	0.679667	0
1203	80	0.502	0.505	0.516	0.538	0.68	0
1203	81	0.502	0.505	0.514333	0.537	0.678333	0
1203	82	0.502	0.505667	0.515333	0.537667	0.679333	0
1203	83	0.502667	0.506667	0.515333	0.540333	0.681	0
1203	84	0.501333	0.506	0.515667	0.538	0.680333	0
1203	85	0.501667	0.505667	0.516333	0.538	0.68	0
1203	86	0.502	0.506333	0.516667	0.537	0.679	0
1203	87	0.502	0.505333	0.514667	0.535667	0.673333	0
1203	88	0.500667	0.505333	0.515667	0.537	0.672667	0
1203	89	0.500667	0.504667	0.515667	0.538	0.672	0
1203	90	0.501	0.505333	0.515667	0.536333	0.674	0
1203	91	0.501333	0.505	0.514667	0.537667	0.672333	0
1203	92	0.502	0.505	0.516333	0.536333	0.673	0
1203	93	0.504	0.507	0.515333	0.534667	0.671667	0
1203	94	0.502333	0.505333	0.515	0.535333	0.668	0
1203	95	0.502667	0.505333	0.514667	0.534333	0.667667	0
1203	96	0.502333	0.51	0.519333	0.542	0.692333	0
1203	97	0.502	0.507667	0.518667	0.542	0.69	0
1203	98	0.503	0.507667	0.518	0.541	0.689667	0
1203	99	0.502	0.508333	0.519333	0.539667	0.689	0
1203	100	0.502	0.509	0.519	0.541333	0.69	0
1204	1	0.501333	0.508667	0.519333	0.549333	0.698	0
1204	2	0.501333	0.508667	0.518333	0.549	0.696667	0
1204	3	0.502333	0.508333	0.518667	0.545667	0.690333	0
1204	4	0.501667	0.508333	0.517667	0.547333	0.69	0
1204	5	0.501667	0.508	0.518	0.546	0.689333	0
1204	6	0.502	0.507333	0.518333	0.547	0.692	0
1204	7	0.503667	0.507	0.516667	0.534333	0.667667	0
1204	8	0.502667	0.507333	0.520667	0.552667	0.698	0
1204	9	0.502	0.507	0.519333	0.553	0.697	0
1204	10	0.501667	0.507667	0.520667	0.546333	0.692333	0
1204	11	0.502	0.507	0.520333	0.546333	0.693	0
1204	12	0.502	0.508333	0.519667	0.547667	0.695667	0
1204	13	0.501667	0.508333	0.519	0.549333	0.698667	0
1204	14	0.502	0.508	0.52	0.548333	0.696	0
1204	15	0.502	0.508	0.518667	0.549	0.697667	0
1204	16	0.503	0.507333	0.518333	0.545667	0.690667	0
1204	17	0.502	0.508333	0.518	0.546667	0.690333	0
1204	18	0.502	0.508667	0.517667	0.546333	0.691667	0
1204	19	0.502	0.507667	0.518	0.547333	0.692	0
1204	20	0.501667	0.508	0.518333	0.547	0.692333	0
1204	21	0.502667	0.508	0.519333	0.546	0.691667	0
1204	22	0.502	0.507667	0.520667	0.555333	0.698667	0
1204	23	0.502333	0.506667	0.518	0.54	0.676667	0
1204	24	0.502333	0.507667	0.518	0.539333	0.677	0
1204	25	0.502	0.508667	0.518667	0.539333	0.676667	0
1204	26	0.502	0.509	0.518667	0.54	0.677667	0
1204	27	0.502333	0.508	0.517667	0.54	0.677	0
1204	28	0.502667	0.506667	0.519	0.539	0.676667	0
1204	29	0.501667	0.507333	0.515667	0.537	0.674333	0
1204	30	0.501333	0.507	0.516333	0.537667	0.675333	0
1204	31	0.501667	0.508	0.516667	0.540667	0.676667	0
1204	32	0.501333	0.506667	0.515667	0.539667	0.674	0
1204	33	0.500667	0.507333	0.516	0.538	0.672667	0
1204	34	0.502	0.507333	0.514667	0.537	0.673667	0
1204	35	0.502333	0.506667	0.514	0.538	0.670667	0
1204	36	0.502667	0.506	0.516667	0.537333	0.674	0
1204	37	0.501667	0.506	0.516	0.537	0.673667	0
1204	38	0.502333	0.506333	0.516	0.535667	0.672	0
1204	39	0.502333	0.506667	0.515667	0.536	0.672333	0
1204	40	0.502	0.507	0.516667	0.536333	0.673667	0
1204	41	0.503	0.508333	0.516667	0.534333	0.669333	0
1204	42	0.502667	0.507667	0.517	0.535	0.668667	0
1204	43	0.502333	0.509	0.515333	0.535	0.670667	0
1204	44	0.502333	0.51	0.515333	0.534333	0.669333	0
1204	45	0.501333	0.508333	0.514333	0.535667	0.669333	0
1204	46	0.502	0.508333	0.514667	0.536	0.671333	0
1204	47	0.501667	0.508333	0.516	0.535333	0.669	0
1204	48	0.502	0.508667	0.514	0.535333	0.668333	0
1204	49	0.501667	0.507667	0.514333	0.536667	0.668667	0
1204	50	0.502	0.508333	0.513667	0.538667	0.670333	0
1204	51	0.502	0.508	0.514667	0.536667	0.674667	0
1204	52	0.501667	0.508333	0.515333	0.537	0.674667	0
1204	53	0.501667	0.508	0.516	0.537333	0.676	0
1204	54	0.501333	0.507	0.515667	0.538	0.676333	0
1204	55	0.501667	0.508333	0.515667	0.537667	0.675333	0
1204	56	0.501333	0.507	0.516333	0.537	0.673667	0
1204	57	0.501667	0.508	0.516	0.536667	0.673667	0
1204	58	0.502	0.507	0.515667	0.536667	0.673333	0
1204	59	0.501667	0.507667	0.515333	0.537	0.672667	0
1204	60	0.503333	0.507667	0.518667	0.539	0.68	0
1204	61	0.503	0.508667	0.518667	0.538	0.679	0
1204	62	0.503333	0.509333	0.517	0.538667	0.679667	0
1204	63	0.503667	0.508333	0.517	0.538	0.678667	0
1204	64	0.503333	0.507667	0.517	0.537333	0.676333	0
1204	65	0.504333	0.507667	0.516333	0.536667	0.678	0
1204	66	0.503667	0.508667	0.516667	0.537	0.676667	0
1204	67	0.504333	0.508333	0.516	0.539667	0.679333	0
1204	68	0.503	0.508333	0.514667	0.54	0.680333	0
1204	69	0.503667	0.509	0.515667	0.538333	0.678	0
1204	70	0.502333	0.507	0.517333	0.545667	0.689667	0
1204	71	0.501667	0.505667	0.519	0.549667	0.69	0
1204	72	0.502667	0.508667	0.517	0.545667	0.689333	0
1204	73	0.503333	0.509333	0.518667	0.545667	0.692667	0
1204	74	0.502	0.507	0.519333	0.546333	0.691667	0
1204	75	0.502333	0.506	0.519333	0.547	0.692	0
1204	76	0.502667	0.507	0.521	0.545333	0.690667	0
1204	77	0.502667	0.507333	0.521667	0.545	0.690333	0
1204	78	0.502333	0.507	0.521	0.546	0.690333	0
1204	79	0.502	0.506667	0.520333	0.547667	0.694333	0
1204	80	0.502	0.507333	0.519667	0.547667	0.695333	0
1204	81	0.502	0.507333	0.519333	0.547333	0.694667	0
1204	82	0.502333	0.507	0.518333	0.548667	0.693	0
1204	83	0.502	0.506667	0.518333	0.546333	0.691	0
1204	84	0.502333	0.507	0.519333	0.547	0.694333	0
1204	85	0.502	0.507333	0.518667	0.546667	0.694333	1
1204	86	0.502333	0.507333	0.518667	0.546333	0.691667	0
1204	87	0.501667	0.507333	0.518667	0.547333	0.692	0
1204	88	0.501667	0.507333	0.52	0.547333	0.692333	0
1204	89	0.501333	0.507667	0.518333	0.547	0.690333	0
1204	90	0.501333	0.506667	0.518333	0.546	0.69	0
1204	91	0.501667	0.508	0.518333	0.545667	0.689667	0
1204	92	0.501333	0.508667	0.52	0.547667	0.694667	0
1204	93	0.501667	0.507667	0.519	0.548667	0.695	0
1204	94	0.501333	0.508	0.52	0.548667	0.698	0
1204	95	0.501	0.508333	0.519667	0.55	0.699333	0
1204	96	0.501667	0.507667	0.519	0.549	0.698	0
1204	97	0.501333	0.508333	0.519	0.549667	0.699333	0
1204	98	0.501667	0.509333	0.519667	0.550667	0.7	0
1204	99	0.502	0.508	0.519333	0.544667	0.689	0
1204	100	0.503	0.507333	0.521	0.552333	0.697333	0
1205	1	0.502667	0.504667	0.514333	0.540667	0.668	0
1205	2	0.502333	0.504333	0.514667	0.540667	0.665333	0
1205	3	0.503	0.504333	0.515333	0.541333	0.669333	0
1205	4	0.502333	0.505333	0.514667	0.539667	0.669	0
1205	5	0.502333	0.505	0.515	0.539333	0.668333	0
1205	6	0.501667	0.504333	0.514333	0.538667	0.664	0
1205	7	0.501667	0.504333	0.514	0.540667	0.663667	0
1205	8	0.501667	0.504333	0.514	0.539333	0.662667	0
1205	9	0.501	0.506667	0.514667	0.538333	0.667333	0
1205	10	0.501	0.507667	0.517	0.539333	0.671	0
1205	11	0.502	0.505	0.514	0.540333	0.664333	0
1205	12	0.501333	0.506	0.514333	0.537	0.660667	0
1205	13	0.501	0.504667	0.515333	0.538333	0.659333	0
1205	14	0.502	0.506667	0.514667	0.537	0.67	0
1205	15	0.503	0.505667	0.515667	0.541667	0.672	0
1205	16	0.503	0.505	0.513333	0.538667	0.666667	0
1205	17	0.503333	0.507333	0.515	0.535667	0.665667	0
1205	18	0.501	0.509333	0.516	0.537333	0.668	0
1205	19	0.501667	0.505333	0.515667	0.536667	0.663	0
1205	20	0.502	0.504	0.516333	0.540667	0.665333	0
1205	21	0.501333	0.505	0.515	0.540667	0.668333	0
1205	22	0.502333	0.505	0.514333	0.537333	0.662	0
1205	23	0.502333	0.505	0.515	0.536	0.659	0
1205	24	0.502333	0.507333	0.514667	0.536333	0.67	0
1205	25	0.501333	0.506	0.514333	0.541667	0.666667	0
1205	26	0.501	0.508333	0.516	0.537	0.666333	0
1205	27	0.502333	0.504667	0.514667	0.538667	0.666667	0
1205	28	0.502667	0.505	0.515	0.538	0.667667	0
1205	29	0.502	0.504667	0.515	0.538667	0.667667	0
1205	30	0.502667	0.505667	0.514667	0.535667	0.660667	0
1205	31	0.502333	0.505	0.514333	0.535667	0.658667	0
1205	32	0.501667	0.506333	0.514667	0.536	0.662667	0
1205	33	0.503	0.507	0.515667	0.538333	0.672333	0
1205	34	0.502667	0.506333	0.514667	0.541	0.672	0
1205	35	0.501667	0.505	0.514667	0.536667	0.658667	0
1205	36	0.501667	0.507667	0.516333	0.537	0.672	0
1205	37	0.501667	0.507	0.517333	0.537667	0.67	0
1205	38	0.501333	0.507667	0.516667	0.539	0.670333	0
1205	39	0.501667	0.507333	0.516	0.536333	0.669667	0
1205	40	0.502	0.508	0.517667	0.538333	0.673333	0
1205	41	0.501667	0.506667	0.516667	0.538667	0.672667	0
1205	42	0.501667	0.507667	0.518333	0.54	0.674	0
1205	43	0.502	0.507333	0.517667	0.537667	0.672333	0
1205	44	0.501	0.507667	0.517667	0.54	0.672	0
1205	45	0.501333	0.507333	0.518667	0.540333	0.671	0
1205	46	0.501	0.508	0.518	0.539	0.669333	0
1205	47	0.501	0.508667	0.516667	0.54	0.670333	0
1205	48	0.500667	0.508667	0.518	0.539667	0.668667	0
1205	49	0.501	0.508667	0.519667	0.538333	0.668333	0
1205	50	0.502333	0.504333	0.516667	0.540333	0.667	0
1205	51	0.502	0.505	0.514333	0.539667	0.665	0
1205	52	0.502333	0.505	0.514667	0.541333	0.669333	0
1205	53	0.502	0.505	0.514333	0.542	0.668333	0
1205	54	0.502	0.504667	0.514667	0.542333	0.668	0
1205	55	0.502667	0.504333	0.514667	0.540333	0.666667	0
1205	56	0.502667	0.505	0.516	0.541333	0.67	0
1205	57	0.502	0.505667	0.515	0.541	0.669667	0
1205	58	0.502	0.504667	0.515333	0.539333	0.668	0
